Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.125,2.673961877822876,,
,0,80,,,,,0.040123455226421356,2.7086760997772217
,1,99,,,0.125,2.6038107872009277,,
,1,149,,,0.1875,2.510352849960327,,
,1,161,,,,,0.08950617164373398,2.7164077758789062
,2,199,,,0.0625,2.668759346008301,,
,2,242,,,,,0.08950617164373398,2.7708022594451904
,3,249,,,0.125,2.308990716934204,,
,3,299,,,0.375,2.4634501934051514,,
,3,323,,,,,0.11419752985239029,2.7509796619415283
,4,349,,,0.25,2.315039873123169,,
,4,399,,,0.125,2.455392599105835,,
,4,404,,,,,0.11728394776582718,2.9132332801818848
,5,449,,,0.3125,2.1329290866851807,,
,5,485,,,,,0.08950617164373398,3.180163621902466
,6,499,,,0.25,2.132845640182495,,
,6,549,,,0.375,2.064915657043457,,
,6,566,,,,,0.1111111119389534,3.3309714794158936
,7,599,,,0.375,1.8710724115371704,,
,7,647,,,,,0.08641975373029709,3.431668996810913
,8,649,,,0.25,2.2231626510620117,,
,8,699,,,0.4375,2.0674095153808594,,
,8,728,,,,,0.09259258955717087,3.801576614379883
,9,749,,,0.25,2.1770734786987305,,
,9,799,,,0.3125,2.2302634716033936,,
,9,809,,,,,0.1111111119389534,4.045881748199463
,10,849,,,0.3125,2.2455804347991943,,
,10,890,,,,,0.0833333358168602,4.351469039916992
,11,899,,,0.375,2.0598719120025635,,
,11,949,,,0.5625,1.6813780069351196,,
,11,971,,,,,0.08950617164373398,4.750565052032471
,12,999,,,0.375,1.8089656829833984,,
,12,1049,,,0.5,1.8120348453521729,,
,12,1052,,,,,0.10185185074806213,4.925867557525635
,13,1099,,,0.4375,1.9260729551315308,,
,13,1133,,,,,0.08950617164373398,5.541791915893555
,14,1149,,,0.5625,1.5060497522354126,,
,14,1199,,,0.6875,1.265389084815979,,
,14,1214,,,,,0.12037037312984467,6.023691177368164
,15,1249,,,0.4375,1.5694000720977783,,
,15,1295,,,,,0.10802469402551651,6.483962059020996
,16,1299,,,0.5,1.3285053968429565,,
,16,1349,,,0.5,1.5653529167175293,,
,16,1376,,,,,0.09876543283462524,7.541650772094727
,17,1399,,,0.6875,0.9625339508056641,,
,17,1449,,,0.625,1.2342199087142944,,
,17,1457,,,,,0.10185185074806213,7.260537147521973
,18,1499,,,0.5625,1.5322887897491455,,
,18,1538,,,,,0.12654320895671844,7.967075824737549
,19,1549,,,0.75,0.8652870655059814,,
,19,1599,,,0.75,0.916165292263031,,
,19,1619,,,,,0.09567901492118835,8.051390647888184
0.06666667014360428,20,1620,0.06666667014360428,4.120312213897705,,,,
