epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.3125,2.5389974117279053,,
0,80,,,0.25925925374031067,2.23061203956604
1,99,0.4375,1.7395943403244019,,
1,149,0.625,1.625493049621582,,
1,161,,,0.43209877610206604,1.7245596647262573
2,199,0.625,0.9667999148368835,,
2,242,,,0.5185185074806213,1.5124006271362305
3,249,0.625,0.9836575984954834,,
3,299,0.625,1.1194788217544556,,
3,323,,,0.7067901492118835,1.081939458847046
4,349,0.75,0.5810533761978149,,
4,399,0.6875,0.6341129541397095,,
4,404,,,0.6882715821266174,1.1665006875991821
5,449,0.8125,0.43537962436676025,,
5,485,,,0.6635802388191223,1.1507705450057983
6,499,0.875,0.6735903024673462,,
6,549,0.8125,0.45718106627464294,,
6,566,,,0.7469135522842407,1.065060019493103
7,599,0.875,0.5636686682701111,,
7,647,,,0.7037037014961243,1.1955281496047974
8,649,0.75,0.7558530569076538,,
8,699,0.6875,0.6674110889434814,,
8,728,,,0.7777777910232544,1.0282154083251953
9,749,0.8125,1.1029999256134033,,
9,799,1.0,0.12426576763391495,,
9,809,,,0.7870370149612427,0.9551198482513428
